Firmenname,no,Address,Zip Code,Country,Kundens,Mitarbeiters,Tasks,Job listings,Quota,Product,Submitted
TechVision Inc,1,123 Innovation Drive,94025,USA,1,3,2,3,3/10,Premium,11.15.2024
DataFlow Solutions,2,456 Tech Park Avenue,02134,USA,1,2,1,5,7/15,Standard,11.22.2024
CloudNine Systems,3,789 Cloud Boulevard,10001,USA,1,4,3,2,2/8,Premium,12.01.2024
GreenTech Industries,4,321 Sustainability Lane,90210,USA,1,1,1,4,8/12,Standard,12.05.2024
FinanceHub Corp,5,654 Banking Street,60601,USA,1,2,2,6,14/20,Enterprise,11.10.2024
MediCare Solutions,6,987 Health Plaza,02115,USA,1,3,1,3,7/10,Premium,11.18.2024
AutoMotive Dynamics,7,147 Industrial Way,48201,USA,1,2,2,5,10/15,Standard,11.25.2024
FoodTech Innovations,8,258 Culinary Court,94102,USA,1,1,1,2,5/8,Standard,12.02.2024
EduLearn Platform,9,369 Knowledge Avenue,02138,USA,1,4,3,4,9/12,Premium,11.08.2024
RetailMax Group,10,741 Commerce Center,10019,USA,1,2,1,7,15/18,Enterprise,11.28.2024
