Job title,jobPostingId,Job description,Location,Benefits,Sources,Salary (min),Salary (max),Currency,Contact email,Status,Submitted,Published,Ended,Companies,Company Reps,Google docs,Job ads,Applications
Senior Software Engineer,JP-2024-001,Looking for experienced backend developer with 5+ years in Java/Spring,San Francisco CA,Health insurance/Remote work/Gym membership,LinkedIn,85000,115000,USD,jobs@techvision.com,Live,11.15.2024,11.20.2024,,TechVision Inc,Michael Weber,doc123,ad001,12
Data Analyst,JP-2024-002,Seeking data analyst proficient in SQL and Python for business intelligence,Boston MA,Flexible hours/Training budget/Transit pass,Indeed,65000,85000,USD,recruiting@dataflow.com,Live,11.22.2024,11.25.2024,,DataFlow Solutions,Anna Schmidt,doc124,ad002,8
DevOps Engineer,JP-2024-003,Cloud infrastructure specialist needed for AWS/Azure environments,New York NY,Remote first/Stock options/Relocation support,LinkedIn,80000,105000,USD,jobs@cloudnine.com,Approved,12.01.2024,,,CloudNine Systems,Thomas Brown,doc125,ad003,5
Sustainability Manager,JP-2024-004,Drive our green initiatives and environmental compliance programs,Los Angeles CA,401k match/30 days PTO/Bike program,Indeed,70000,90000,USD,careers@greentech.com,Live,12.05.2024,12.07.2024,,GreenTech Industries,Julia Fisher,doc126,ad004,15
Financial Analyst,JP-2024-005,Analysis and reporting for investment portfolios,Chicago IL,Performance bonus/Health insurance/Gym,LinkedIn,75000,95000,USD,talent@financehub.com,Live,11.10.2024,11.15.2024,,FinanceHub Corp,Robert Meyer,doc127,ad005,20
Senior Accountant,JP-2024-006,Lead accounting operations and financial reporting,Chicago IL,Remote work/Training/Company events,Indeed,68000,88000,USD,talent@financehub.com,Review,11.28.2024,,,FinanceHub Corp,Robert Meyer,doc128,ad006,3
Registered Nurse,JP-2024-007,Provide patient care in modern healthcare facility,Boston MA,Shift differential/Continuing education/Childcare,HealthJobsNow,58000,72000,USD,hr@medicare.com,Live,11.18.2024,11.21.2024,,MediCare Solutions,Laura Cook,doc129,ad007,18
Automotive Engineer,JP-2024-008,Design and test electric vehicle components,Detroit MI,Company car/Research budget/Patent bonus,EngineerJobs,80000,100000,USD,jobs@autodynamics.com,Approved,11.25.2024,,,AutoMotive Dynamics,Stefan Baker,doc130,ad008,7
Food Safety Specialist,JP-2024-009,Ensure compliance with food safety regulations,San Francisco CA,Flexible hours/Remote option/Health benefits,Indeed,62000,80000,USD,recruitment@foodtech.com,Live,12.02.2024,12.04.2024,,FoodTech Innovations,Maria Hoffman,doc131,ad009,6
Learning Platform Developer,JP-2024-010,Build interactive educational software,Cambridge MA,Remote work/Learning budget/Conferences,GitHub Jobs,72000,92000,USD,careers@edulearn.com,Review,11.08.2024,,,EduLearn Platform,Andrew Richards,doc132,ad010,4
Store Manager,JP-2024-011,Manage retail operations and team of 15,New York NY,Employee discount/Commission/Career growth,Indeed,55000,72000,USD,jobs@retailmax.com,Live,11.28.2024,12.01.2024,,RetailMax Group,Sabine Klein,doc133,ad011,22
UX/UI Designer,JP-2024-012,Create user-centered designs for cloud applications,San Francisco CA,Creative freedom/Remote work/Equipment budget,Dribbble,68000,88000,USD,jobs@techvision.com,Approved,11.18.2024,,,TechVision Inc,Michael Weber,doc134,ad012,9
